gene,actual_label,predicted_label,gc_content,at_content,tata_box,dinuc_repeat_score,kmer_TCC,kmer_CCT,kmer_CTC,kmer_TCA,kmer_CAT,kmer_ATA,kmer_TAC,kmer_ACC,kmer_CCA,kmer_CAA,kmer_AAG,kmer_AGC,kmer_GCC,kmer_AAC,kmer_ACA,kmer_ATT,kmer_TTT,kmer_TTG,kmer_TGT,kmer_GTG,kmer_GTC,kmer_TCT,kmer_CTT,kmer_TGG,kmer_GGT,kmer_GTT,kmer_TGC,kmer_TAA,kmer_AAT,kmer_TAG,kmer_AGT,kmer_GTA,kmer_TAT,kmer_CTA,kmer_AGA,kmer_GAC,kmer_ACT,kmer_CTG,kmer_GGG,kmer_GGC,kmer_GCA,kmer_TTA,kmer_AAA,kmer_GAA,kmer_GAG,kmer_AGG,kmer_GCT,kmer_ATG,kmer_TGA,kmer_GAT,kmer_TTC,kmer_CAG,kmer_ATC,kmer_CAC,kmer_GGA,kmer_GCG,kmer_CGA,kmer_CCC,kmer_ACG,kmer_CGT,kmer_TCG,kmer_CCG,kmer_CGC,kmer_CGG
Y_RNA,Low,Low,0.45,0.55,1,3,19.0,15.0,23.0,22.0,23.0,14.0,18.0,11.0,20.0,23.0,23.0,18.0,13.0,13.0,31.0,23.0,23.0,11.0,17.0,13.0,11.0,16.0,13.0,15.0,9.0,7.0,23.0,14.0,20.0,6.0,8.0,10.0,13.0,10.0,21.0,12.0,21.0,28.0,6.0,14.0,22.0,17.0,36.0,19.0,10.0,14.0,22.0,24.0,21.0,16.0,15.0,23.0,12.0,26.0,13.0,4.0,2.0,14.0,6.0,7.0,4.0,8.0,6.0,7.0
Y_RNA,Low,Low,0.476,0.524,1,5,14.0,16.0,15.0,19.0,12.0,22.0,11.0,12.0,19.0,17.0,14.0,17.0,11.0,11.0,17.0,9.0,5.0,16.0,15.0,26.0,12.0,17.0,12.0,35.0,25.0,16.0,9.0,15.0,24.0,8.0,19.0,8.0,15.0,8.0,24.0,14.0,20.0,28.0,23.0,20.0,23.0,11.0,41.0,17.0,38.0,35.0,10.0,16.0,27.0,10.0,10.0,35.0,14.0,14.0,25.0,3.0,3.0,8.0,1.0,3.0,1.0,2.0,0.0,1.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOL12,High,High,0.361,0.639,0,2,11.0,19.0,19.0,19.0,17.0,18.0,15.0,14.0,18.0,7.0,12.0,7.0,13.0,7.0,13.0,41.0,71.0,31.0,23.0,17.0,8.0,34.0,26.0,18.0,14.0,24.0,19.0,18.0,18.0,13.0,25.0,14.0,37.0,15.0,14.0,4.0,11.0,15.0,7.0,7.0,9.0,36.0,25.0,12.0,11.0,11.0,11.0,16.0,19.0,17.0,25.0,21.0,13.0,14.0,9.0,0.0,2.0,8.0,2.0,1.0,1.0,1.0,0.0,1.0
AIFM3,High,High,0.447,0.553,0,2,10.0,20.0,12.0,17.0,8.0,12.0,10.0,15.0,19.0,20.0,18.0,19.0,18.0,19.0,22.0,16.0,20.0,19.0,18.0,13.0,9.0,11.0,12.0,23.0,17.0,12.0,10.0,23.0,22.0,12.0,12.0,14.0,12.0,15.0,23.0,11.0,18.0,22.0,17.0,19.0,18.0,16.0,71.0,16.0,30.0,34.0,12.0,13.0,16.0,10.0,5.0,28.0,12.0,19.0,24.0,5.0,4.0,9.0,4.0,1.0,0.0,4.0,5.0,3.0
USP18,High,High,0.453,0.547,1,0,22.0,29.0,33.0,24.0,15.0,8.0,10.0,15.0,27.0,25.0,14.0,13.0,22.0,23.0,22.0,19.0,45.0,18.0,16.0,18.0,9.0,18.0,12.0,20.0,11.0,12.0,19.0,19.0,22.0,9.0,16.0,6.0,7.0,17.0,16.0,9.0,21.0,24.0,13.0,18.0,12.0,14.0,32.0,15.0,16.0,18.0,18.0,16.0,21.0,11.0,11.0,24.0,12.0,20.0,10.0,1.0,4.0,12.0,5.0,2.0,1.0,3.0,3.0,1.0
ADORA2A,High,High,0.494,0.506,1,1,17.0,18.0,22.0,22.0,18.0,11.0,8.0,11.0,26.0,21.0,15.0,21.0,18.0,16.0,23.0,12.0,13.0,12.0,21.0,28.0,13.0,17.0,16.0,30.0,18.0,8.0,22.0,12.0,19.0,10.0,18.0,12.0,12.0,8.0,16.0,7.0,19.0,25.0,22.0,16.0,23.0,11.0,26.0,16.0,22.0,22.0,17.0,23.0,15.0,9.0,13.0,30.0,12.0,25.0,22.0,2.0,1.0,17.0,3.0,4.0,4.0,2.0,2.0,4.0
Y_RNA,Low,Low,0.483,0.517,0,0,20.0,28.0,27.0,24.0,13.0,11.0,12.0,12.0,23.0,21.0,16.0,30.0,22.0,12.0,22.0,12.0,33.0,22.0,12.0,12.0,7.0,27.0,23.0,21.0,12.0,17.0,10.0,13.0,17.0,8.0,15.0,7.0,8.0,13.0,12.0,9.0,14.0,23.0,12.0,20.0,19.0,10.0,27.0,11.0,19.0,20.0,17.0,6.0,20.0,12.0,20.0,33.0,21.0,21.0,14.0,8.0,5.0,14.0,6.0,4.0,4.0,3.0,6.0,6.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.45,0.55,1,2,22.0,29.0,20.0,26.0,26.0,18.0,10.0,19.0,28.0,17.0,18.0,17.0,19.0,16.0,24.0,15.0,29.0,10.0,11.0,7.0,8.0,25.0,28.0,19.0,9.0,8.0,13.0,12.0,16.0,13.0,8.0,6.0,19.0,15.0,27.0,13.0,16.0,24.0,6.0,13.0,12.0,15.0,19.0,21.0,14.0,17.0,17.0,23.0,21.0,16.0,26.0,24.0,20.0,23.0,14.0,1.0,1.0,21.0,3.0,1.0,1.0,3.0,6.0,0.0
SMARCB1,High,High,0.489,0.511,0,1,20.0,26.0,32.0,25.0,9.0,5.0,8.0,17.0,24.0,24.0,22.0,17.0,22.0,21.0,16.0,12.0,33.0,17.0,21.0,19.0,9.0,19.0,13.0,19.0,14.0,18.0,24.0,12.0,15.0,10.0,14.0,8.0,7.0,11.0,24.0,9.0,15.0,29.0,12.0,14.0,13.0,13.0,23.0,22.0,14.0,21.0,25.0,12.0,13.0,12.0,13.0,30.0,14.0,15.0,16.0,4.0,4.0,14.0,5.0,4.0,3.0,9.0,9.0,4.0
Y_RNA,Low,Low,0.476,0.524,1,5,14.0,16.0,15.0,19.0,12.0,22.0,11.0,12.0,19.0,17.0,14.0,17.0,11.0,11.0,17.0,9.0,5.0,16.0,15.0,26.0,12.0,17.0,12.0,35.0,25.0,16.0,9.0,15.0,24.0,8.0,19.0,8.0,15.0,8.0,24.0,14.0,20.0,28.0,23.0,20.0,23.0,11.0,41.0,17.0,38.0,35.0,10.0,16.0,27.0,10.0,10.0,35.0,14.0,14.0,25.0,3.0,3.0,8.0,1.0,3.0,1.0,2.0,0.0,1.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFI1,High,High,0.479,0.521,1,0,14.0,15.0,20.0,16.0,9.0,12.0,7.0,12.0,15.0,20.0,19.0,20.0,14.0,21.0,44.0,14.0,21.0,8.0,6.0,11.0,11.0,24.0,11.0,15.0,9.0,10.0,16.0,19.0,21.0,6.0,16.0,5.0,12.0,16.0,17.0,11.0,19.0,30.0,14.0,21.0,21.0,11.0,40.0,22.0,21.0,18.0,18.0,9.0,21.0,7.0,16.0,25.0,14.0,42.0,15.0,9.0,8.0,13.0,6.0,6.0,7.0,10.0,6.0,12.0
Y_RNA,Low,Low,0.488,0.512,0,3,24.0,23.0,28.0,18.0,11.0,9.0,11.0,18.0,32.0,19.0,18.0,15.0,16.0,10.0,18.0,20.0,32.0,13.0,15.0,10.0,9.0,24.0,11.0,15.0,14.0,14.0,20.0,10.0,17.0,14.0,17.0,15.0,12.0,11.0,20.0,13.0,19.0,31.0,24.0,12.0,17.0,12.0,13.0,17.0,20.0,32.0,15.0,13.0,18.0,12.0,20.0,32.0,10.0,23.0,23.0,2.0,1.0,23.0,2.0,2.0,1.0,3.0,3.0,2.0
Metazoa_SRP,Low,Low,0.486,0.514,0,1,16.0,20.0,17.0,19.0,20.0,14.0,7.0,14.0,23.0,15.0,27.0,21.0,15.0,8.0,10.0,12.0,15.0,22.0,25.0,22.0,17.0,16.0,18.0,34.0,16.0,15.0,21.0,15.0,16.0,9.0,23.0,12.0,9.0,5.0,21.0,11.0,11.0,21.0,32.0,11.0,22.0,9.0,25.0,21.0,22.0,22.0,14.0,32.0,17.0,19.0,14.0,29.0,5.0,10.0,31.0,2.0,4.0,17.0,1.0,1.0,2.0,2.0,0.0,2.0
Metazoa_SRP,Low,Low,0.553,0.447,0,2,19.0,25.0,25.0,11.0,11.0,9.0,8.0,15.0,23.0,6.0,20.0,18.0,18.0,8.0,10.0,7.0,17.0,20.0,29.0,30.0,11.0,25.0,13.0,46.0,22.0,20.0,11.0,7.0,8.0,7.0,14.0,5.0,6.0,7.0,15.0,16.0,12.0,40.0,56.0,22.0,11.0,6.0,9.0,23.0,22.0,30.0,23.0,15.0,19.0,12.0,14.0,28.0,6.0,9.0,34.0,2.0,5.0,23.0,4.0,1.0,1.0,4.0,3.0,2.0
MMP11,High,High,0.313,0.687,1,2,6.0,8.0,8.0,16.0,18.0,43.0,15.0,6.0,10.0,23.0,35.0,7.0,6.0,18.0,25.0,28.0,30.0,20.0,20.0,12.0,5.0,9.0,16.0,11.0,8.0,13.0,13.0,40.0,43.0,13.0,18.0,18.0,31.0,9.0,32.0,10.0,19.0,8.0,6.0,4.0,12.0,29.0,66.0,32.0,8.0,13.0,5.0,28.0,24.0,22.0,8.0,14.0,15.0,8.0,13.0,3.0,3.0,5.0,1.0,2.0,4.0,0.0,2.0,1.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.476,0.524,1,5,14.0,16.0,15.0,19.0,12.0,22.0,11.0,12.0,19.0,17.0,14.0,17.0,11.0,11.0,17.0,9.0,5.0,16.0,15.0,26.0,12.0,17.0,12.0,35.0,25.0,16.0,9.0,15.0,24.0,8.0,19.0,8.0,15.0,8.0,24.0,14.0,20.0,28.0,23.0,20.0,23.0,11.0,41.0,17.0,38.0,35.0,10.0,16.0,27.0,10.0,10.0,35.0,14.0,14.0,25.0,3.0,3.0,8.0,1.0,3.0,1.0,2.0,0.0,1.0
LINC01656,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.483,0.517,0,0,20.0,28.0,27.0,24.0,13.0,11.0,12.0,12.0,23.0,21.0,16.0,30.0,22.0,12.0,22.0,12.0,33.0,22.0,12.0,12.0,7.0,27.0,23.0,21.0,12.0,17.0,10.0,13.0,17.0,8.0,15.0,7.0,8.0,13.0,12.0,9.0,14.0,23.0,12.0,20.0,19.0,10.0,27.0,11.0,19.0,20.0,17.0,6.0,20.0,12.0,20.0,33.0,21.0,21.0,14.0,8.0,5.0,14.0,6.0,4.0,4.0,3.0,6.0,6.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.476,0.524,1,5,14.0,16.0,15.0,19.0,12.0,22.0,11.0,12.0,19.0,17.0,14.0,17.0,11.0,11.0,17.0,9.0,5.0,16.0,15.0,26.0,12.0,17.0,12.0,35.0,25.0,16.0,9.0,15.0,24.0,8.0,19.0,8.0,15.0,8.0,24.0,14.0,20.0,28.0,23.0,20.0,23.0,11.0,41.0,17.0,38.0,35.0,10.0,16.0,27.0,10.0,10.0,35.0,14.0,14.0,25.0,3.0,3.0,8.0,1.0,3.0,1.0,2.0,0.0,1.0
ADSL,High,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metazoa_SRP,Low,Low,0.482,0.518,0,2,15.0,22.0,20.0,14.0,16.0,10.0,11.0,14.0,28.0,27.0,14.0,23.0,25.0,23.0,30.0,14.0,12.0,11.0,13.0,20.0,7.0,24.0,17.0,24.0,11.0,6.0,22.0,7.0,14.0,8.0,14.0,8.0,12.0,10.0,20.0,12.0,20.0,34.0,15.0,13.0,19.0,10.0,53.0,17.0,21.0,13.0,15.0,16.0,22.0,10.0,16.0,27.0,13.0,21.0,16.0,1.0,2.0,27.0,3.0,3.0,3.0,4.0,2.0,4.0
HDAC10,High,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENPM,High,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.45,0.55,1,2,22.0,29.0,20.0,26.0,26.0,18.0,10.0,19.0,28.0,17.0,18.0,17.0,19.0,16.0,24.0,15.0,29.0,10.0,11.0,7.0,8.0,25.0,28.0,19.0,9.0,8.0,13.0,12.0,16.0,13.0,8.0,6.0,19.0,15.0,27.0,13.0,16.0,24.0,6.0,13.0,12.0,15.0,19.0,21.0,14.0,17.0,17.0,23.0,21.0,16.0,26.0,24.0,20.0,23.0,14.0,1.0,1.0,21.0,3.0,1.0,1.0,3.0,6.0,0.0
Y_RNA,Low,Low,0.45,0.55,1,3,19.0,15.0,23.0,22.0,23.0,14.0,18.0,11.0,20.0,23.0,23.0,18.0,13.0,13.0,31.0,23.0,23.0,11.0,17.0,13.0,11.0,16.0,13.0,15.0,9.0,7.0,23.0,14.0,20.0,6.0,8.0,10.0,13.0,10.0,21.0,12.0,21.0,28.0,6.0,14.0,22.0,17.0,36.0,19.0,10.0,14.0,22.0,24.0,21.0,16.0,15.0,23.0,12.0,26.0,13.0,4.0,2.0,14.0,6.0,7.0,4.0,8.0,6.0,7.0
Metazoa_SRP,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6ATAC22P,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEPDC5,High,High,0.614,0.386,0,1,20.0,37.0,16.0,9.0,8.0,1.0,4.0,23.0,42.0,14.0,15.0,23.0,38.0,7.0,8.0,8.0,10.0,18.0,16.0,25.0,16.0,14.0,17.0,31.0,24.0,10.0,26.0,4.0,6.0,4.0,12.0,3.0,3.0,6.0,13.0,10.0,7.0,37.0,50.0,32.0,24.0,5.0,14.0,10.0,27.0,37.0,18.0,8.0,15.0,3.0,12.0,39.0,2.0,22.0,21.0,3.0,1.0,46.0,5.0,2.0,4.0,2.0,2.0,9.0
LMF2,High,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_RNA,Low,Low,0.376,0.624,0,2,15.0,16.0,20.0,13.0,16.0,30.0,13.0,15.0,24.0,13.0,24.0,11.0,15.0,15.0,18.0,24.0,39.0,15.0,15.0,9.0,6.0,15.0,17.0,11.0,7.0,12.0,13.0,35.0,30.0,15.0,19.0,18.0,18.0,9.0,30.0,7.0,18.0,15.0,2.0,6.0,9.0,24.0,61.0,21.0,17.0,11.0,12.0,20.0,20.0,21.0,14.0,15.0,11.0,20.0,12.0,2.0,4.0,11.0,3.0,4.0,8.0,5.0,8.0,2.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPK11,High,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIATNB,Low,Low,0.586,0.414,0,2,19.0,26.0,19.0,14.0,17.0,7.0,4.0,15.0,25.0,11.0,24.0,22.0,27.0,6.0,13.0,7.0,7.0,12.0,12.0,13.0,20.0,16.0,15.0,22.0,17.0,7.0,25.0,5.0,8.0,10.0,10.0,8.0,3.0,2.0,25.0,11.0,6.0,37.0,31.0,27.0,26.0,5.0,12.0,22.0,23.0,30.0,25.0,16.0,19.0,11.0,12.0,30.0,8.0,20.0,18.0,12.0,5.0,36.0,8.0,9.0,10.0,10.0,16.0,10.0
Y_RNA,Low,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metazoa_SRP,Low,Low,0.372,0.628,1,3,23.0,16.0,14.0,15.0,13.0,9.0,5.0,4.0,13.0,6.0,6.0,7.0,3.0,4.0,2.0,44.0,80.0,36.0,43.0,20.0,18.0,45.0,30.0,26.0,18.0,34.0,15.0,10.0,18.0,20.0,23.0,13.0,32.0,14.0,17.0,2.0,10.0,30.0,11.0,7.0,8.0,31.0,4.0,12.0,16.0,9.0,18.0,16.0,18.0,18.0,41.0,14.0,12.0,5.0,10.0,0.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0
CELSR1,High,Low,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF2,High,High,0.451,0.549,1,0,14.0,18.0,18.0,15.0,8.0,11.0,6.0,11.0,19.0,20.0,21.0,15.0,14.0,13.0,20.0,17.0,40.0,24.0,17.0,21.0,6.0,16.0,12.0,21.0,18.0,19.0,18.0,15.0,21.0,20.0,18.0,10.0,11.0,17.0,29.0,17.0,19.0,23.0,15.0,13.0,15.0,14.0,24.0,20.0,28.0,32.0,16.0,14.0,26.0,15.0,10.0,25.0,13.0,15.0,23.0,4.0,2.0,10.0,1.0,3.0,2.0,2.0,3.0,1.0
